FUNCTION_ID,FUNCTION_NAME,FUNCTION_TYPE,PATHWAY_TYPE,REACTOME,PUBCHEM_PATHWAY_ID,PATHBANK,PANTHER,BIOCYC,WIKIPATHWAYS,SMPDB,PATHWAY_INTERACTION_DATABASE,PLANT_REACTOME,PLANTCYC,PATHWAY_COMMON,PANTHER_PATHWAY,CHEMFONT,PHARMGKB,LIPID_MAPS,BIOCARTA,NETPATH
256,amino acids,biological_process,biological_process,,40719,,,,,,Amino Acids,,,Pathway_4e1c1888bb4e0a41f6833510ad2ae1df,,,,,,
259,aminoglycosides,biological_process,biological_process,,,,,,,,,,,,,PTW_0202923,,,,
269,ampk signaling,biological_process,biological_process,,39457,,,,WP3154,,,,,,,,,,,
280,amyotrophic lateral sclerosis,biological_process,biological_process,,,,,,WP2447,,,,,,,,,,,
281,amyotrophic lateral sclerosis (als),biological_process,biological_process,,39538| 39728,,,,WP2447,,,,,,,,,,,
286,analgesic,biological_process,biological_process,,,,,,,,,,,Pathway_6f2253ae80db5a605ae3ea0d3485ff3f,,,,,,
287,anandamide degradation,biological_process,biological_process,,1362017| 23609| 24305| 31940| 32155| 32929| 33224| 34596,,P05728,PWY6666-1,,,,,,Pathway_e2214ad32360e8522036a640c0107500,,,,,,
317,antagonism,molecular_function,Unknown,,,,,,,,,,,,,,,,,
318,antagonist,molecular_function,Unknown,,,,,,,,,,,,,,,,,
322,anti inflamation,biological_process,Unknown,,,,,,,,,,,,,,,,,
326,anti-hiv activity,biological_process,Unknown,,,,,,,,,,,,,,,,,
331,anticonvulsants,biological_process,biological_process,,,,,,,,,,,,,PTW_0202916,,,,
332,antidiabetics,biological_process,biological_process,,,,,,,,,,,,,PTW_0202911,,,,
333,antidiuretic effects,biological_process,biological_process,,,,,,,,,,,Pathway_02a040de69f909c0901a1cde447938aa,,,,,,
335,antifungal agents,biological_process,biological_process,,,,,,,,,,,,,PTW_0202922,,,,
340,antimicrobial,biological_process,Unknown,,,,,,,,,,,,,,,,,
342,antimicrobial peptides,biological_process,biological_process,R-DME-6803157| R-HSA-6803157,10517| 12708| 13054| 1350| 15001| 15660| 17228| 17644| 18280| 20118| 21189| 22696| 2700| 312| 3803| 6669| 7555| 7736,,,,,,,,,,,,,,,
349,antipsychotics,biological_process,biological_process,,,,,,,,,,,,,PTW_0202924,,,,
351,antisense,molecular_function,Unknown,,,,,,,,,,,,,,,,,
352,antisense oligonucleotide,molecular_function,Unknown,,,,,,,,,,,,,,,,,
355,antitumor activity,biological_process,Unknown,,,,,,,,,,,,,,,,,
357,antiviral activity,biological_process,Unknown,,,,,,,,,,,,,,,,,
358,antiviral agents,biological_process,biological_process,,,,,,,,,,,,,PTW_0202928,,,,
360,anxiolytics,biological_process,biological_process,,,,,,,,,,,,,PTW_0202920,,,,
368,appetite,biological_process,biological_process,,,,,,,,,,,,,PTW_0111230,,,,
386,aryl hydrocarbon receptor,biological_process,biological_process,,39524,,,,WP3226,,,,,,,,,,,
388,aryl hydrocarbon receptor pathway,biological_process,biological_process,,39506| 39746| 39783,,,,WP2873,,,,,,,,,,,
395,asthmatic response,biological_process,biological_process,,,,,,,,,,,Pathway_6f2dccc9f2d1d9d0e556da3bdf0ae699,,,,,,
399,atherosclerosis,biological_process,biological_process,,40930,,,,,,Atherosclerosis,,,Pathway_ec7123322d77d2b1e1e871e92fc43721,,,,,,
413,atr signaling,biological_process,biological_process,,39888,,,,WP3875,,,,,,,,,,,
415,atrophy,biological_process,biological_process,,,,,,,,,,,,,PTW_0111220,,,,
416,attachment and entry,biological_process,biological_process,R-HSA-9694614| R-HSA-9678110,1360868| 1361111,,,,,,,,,,,,,,,
435,axon,biological_process,biological_process,,40800,,,,,,Axon,,,Pathway_1d4779e2a1a996037153815ecc1156c3,,,,,,
444,b-lymphocyte,biological_process,biological_process,,40687,,,,,,B-Lymphocyte,,,Pathway_1657702f4b0942c49740c8f5ca6cdba8,,,,,,
457,bcr,biological_process,biological_process,,,,,,,,,,,Pathway_aab6deab7b50690290f6cf50007ac9bd,,,,,,
460,bdnf,biological_process,biological_process,,,,,,,,,,,,,,,,,Pathway_BDNF
470,beta-cells,biological_process,biological_process,R-MMU-186601,13727,,,,,,,,,,,,,,,
490,biochemical process,biological_process,biological_process,,,,,,,,,,,,,PTW_0181091,,,,
500,biological oxidations,biological_process,biological_process,R-GGA-211859| R-HSA-211859,11118| 13418| 14846| 15374| 16021| 1693| 17972| 18729| 19117| 21779| 22468| 226| 3342| 5071| 6304| 7114| 8912| 9331,,,,,,,,,,,,,,,
507,biosynthesis of prostaglandins,biological_process,biological_process,,32036,,,PWY3DJ-35583,,,,,,,,,,,,
517,bladder cancer,biological_process,biological_process,,39434| 39768,,,,WP2828,,,,,,,,,,,
521,blocker,molecular_function,Unknown,,,,,,,,,,,,,,,,,
525,blood clotting cascade,biological_process,biological_process,,38650| 39170| 39215| 39261| 39305| 39546| 39758,,,,WP272,,,,,,,,,,,
542,bradycardia,biological_process,biological_process,,1361835,,,,,,,,,,,,PA443548,,,
559,breaker,molecular_function,Unknown,,,,,,,,,,,,,,,,,
562,breathing,biological_process,biological_process,,,,,,,,,,,,,PTW_0111231,,,,
570,budding,biological_process,biological_process,R-HSA-168302,12387,,,,,,,,,,,,,,,
572,butyrophenones,biological_process,biological_process,,,,,,,,,,,,,PTW_0202926,,,,
578,c-type lectin receptors,biological_process,biological_process,R-HSA-5621481,,,,,,,,,,,,,,,,
596,calcium channel inhibition,biological_process,biological_process,,,,,,,,,,,,,PTW_0111117,,,,
600,calcium influx,biological_process,Unknown,,,,,,,,,,,,,,,,,
616,camp generation,biological_process,Unknown,,,,,,,,,,,,,,,,,
622,cancer cell growth,biological_process,biological_process,,,,,,,,,,,,,PTW_0111206,,,,
629,canonical nf-kappab pathway,biological_process,biological_process,,40884,,,,,,nfkappabcanonicalpathway,,,Pathway_66129844716ffd7bb3a3115003425092,,,,,,
631,canonical nf-kb pathway,biological_process,biological_process,,1295541,,,,WP4562,,,,,,,,,,,
632,canonical wnt signaling,biological_process,biological_process,,40206,,,,WP566,,,,,,,,,,,
635,cap-dependent translation,biological_process,biological_process,,,,,,,,,,,Pathway_71ce393a4bb454b16dfe6a069899c15c,,,,,,
636,cap-dependent translation initiation,biological_process,biological_process,R-BTA-72737| R-HSA-72737,10241| 11864| 14213| 15070| 15542| 16263| 18098| 18445| 20355| 20854| 23429| 2780| 3969| 404| 56553| 6460| 6811| 7778| 809,,,,,,,R-OSA-1112967,,,,,,,,
651,carcinogenesis,biological_process,biological_process,,,,,,,,,,,,,PTW_0111221,,,,
658,cardiomyocyte,biological_process,biological_process,,40529,,,,,,Cardiomyocyte,,,Pathway_eddad6634a8bfcf1bc0315a8798ef345,,,,,,
696,cd28 co-stimulation,biological_process,biological_process,R-DME-389356| R-HSA-389356,10415| 1238| 12591| 12942| 14956| 15637| 17121| 17586| 18236| 20010| 21099| 22591| 2635| 267| 3696| 6568| 7503| 7656,,,,,,,,,,,,,,,
704,cell adhesion molecules,biological_process,biological_process,,,,,,,,,,,,,PTW_0111113,,,,
707,cell attachment,biological_process,Unknown,,,,,,,,,,,,,,,,,
713,cell cycle arrest,biological_process,biological_process,,40465,,,,,,cell cycle arrest,,,Pathway_b26a024a198ff55dff9b41a1b874a1a0,,,,,,
715,cell cycle checkpoints,biological_process,biological_process,R-GGA-69620| R-HSA-69620,1027| 11738| 12815| 14547| 15479| 16062| 18027| 18334| 19277| 21237| 22880| 2424| 4558| 5805| 703| 7180| 8229| 9634,,,,,,,,,,,,,,,
719,cell cycle progression,biological_process,biological_process,,,,,,,,,,,Pathway_35bdcc802a4fd94ed3d8e0020f5e048d,,,,,,
734,cell growth and proliferation,biological_process,biological_process,,,,,,,,,,,Pathway_a11f6681d2d67fe5ea841a7359994a3a,,,,,,
739,cell maintenance,biological_process,biological_process,,,,,,,,,,,,,PTW_0111170,,,,
744,cell mitosis,biological_process,biological_process,,,,,,,,,,,Pathway_baddaf9aff044306337cad46c5806932,,,,,,
751,cell ploriferation,biological_process,Unknown,,,,,,,,,,,,,,,,,
753,cell proliferation,biological_process,biological_process,,40468,,,,,,cell proliferation,,,Pathway_0e12a037df7f8f0f006e32ec4debd90e,,,,,,
756,cell recruitment,biological_process,biological_process,R-HSA-9664424,,,,,,,,,,,,,,,,
759,cell signaling,biological_process,biological_process,,,,,,,,,,,,,PTW_0111173,,,,
769,cellular activity,biological_process,Unknown,,,,,,,,,,,,,,,,,
771,cellular defense,biological_process,biological_process,,,,,,,,,,,Pathway_a9a3930f40daadeb6708bb18bc44672c,,,,,,
781,cellular processes,biological_process,biological_process,,56549,,,,,,,R-OSA-2894886,,,,,,,,
785,cellular responses to stress,biological_process,biological_process,R-DME-2262752| R-HSA-2262752,10342| 11629| 13704| 14517| 15531| 16505| 17500| 18765| 18846| 1914| 21070| 22504| 2900| 3557| 5779| 6889| 779| 8211,,,,,,,,,,,,,,,
789,cellular toxicity,biological_process,Unknown,,,,,,,,,,,,,,,,,
808,chagas disease,biological_process,biological_process,,,,,,,,,,,,,PTW_0181525,,,,
810,chaperone ,biological_process,Unknown,,,,,,,,,,,,,,,,,
815,chelating agent,molecular_function,Unknown,,,,,,,,,,,,,,,,,
816,chelation,biological_process,biological_process,,,,,,,,,,,,,PTW_0181317,,,,
817,chelator,molecular_function,Unknown,,,,,,,,,,,,,,,,,
848,chloroplast electron transport chain,biological_process,biological_process,,38881,,,,WP2861,,,,,,,,,,,
850,cholestasis,biological_process,biological_process,,1362404,,,,WP5238,,,,,,,,,,,
855,cholesterol biosynthesis pathway,biological_process,biological_process,,39664,,,,WP197,,,,,,,,,,,
905,circadian clock,biological_process,biological_process,R-HSA-400253,11978,,,,,,,,,,,,,,,
917,cleavage,molecular_function,Unknown,,,,,,,,,,,,,,,,,
922,co-agonist,molecular_function,Unknown,,,,,,,,,,,,,,,,,
929,cofactor,molecular_function,Unknown,,,,,,,,,,,,,,,,,
940,combustion,biological_process,biological_process,,,,,,,,,,,,,PTW_0181199,,,,
942,competitive binding,molecular_function,Unknown,,,,,,,,,,,,,,,,,
948,complement system,biological_process,biological_process,,39762,,,,WP2806,,,,,,,,,,,
971,corticotropin-releasing hormone,biological_process,biological_process,,39559,,,,WP3265,,,,,,,,,,,
978,cox reactions,biological_process,biological_process,R-GGA-140180| R-HSA-140180,11131| 13431| 16034| 1706| 19130| 21791| 22481| 5084| 6317| 9344,,,,,,,,,,,,,,,
982,creb phosphorylation,biological_process,biological_process,R-GGA-199920| R-HSA-199920,11334| 1276| 12981| 16600| 19674| 20589| 22629| 2662| 3734| 5282| 7687| 9849,,,,,,,,,,,,,,,
985,cross-linking,molecular_function,Unknown,,,,,,,,,,,,,,,,,
